Número,NI Beneficiário,Origem,Situação,Valor,NIs_iguais,Tempo_decorrido,Natureza do Processo,Forma de Cadastramento,Crédito,Situação Cadastral - Código,País - Código,Estrangeiro,Nacionalidade - Código,Sexo - Código,UF,Município - Código,Telefone - DDD,Idade,Tempo de Óbito
43,2820,Fazendário,CREDITADA,1455.48,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,64,0
44,2351,Fazendário,CREDITADA,2999.33,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7079,16,84,0
45,2351,Fazendário,CREDITADA,5257.63,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7079,16,84,0
46,2351,Fazendário,CREDITADA,4729.1,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7079,16,84,0
47,2351,Fazendário,CREDITADA,4349.8,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7079,16,84,0
48,172,Fazendário,CREDITADA,2409.57,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,10,105,Não,105,F,PR,7535,41,72,0
49,2055,Fazendário,CREDITADA,2409.57,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,67,0
50,2526,Fazendário,CREDITADA,206.71,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4111,32,80,0
51,2814,Fazendário,CREDITADA,907.08,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,59,0
52,59,Fazendário,CREDITADA,907.08,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,58,0
53,447,Fazendário,CREDITADA,907.35,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,66,0
54,3494,Fazendário,CREDITADA,7718.44,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,82,0
55,26,Fazendário,CREDITADA,608.51,N,8,DIGITAL,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,F,RJ,6001,21,65,0
56,26,Fazendário,CREDITADA,99.58,N,8,DIGITAL,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,F,RJ,6001,21,65,0
57,3295,Fazendário,CREDITADA,407.74,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,4,105,Não,105,M,BA,3849,71,63,0
58,1459,Fazendário,CREDITADA,9978.58,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,MG,5403,31,42,0
59,520,Fazendário,CREDITADA,1481.81,S,1,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,BA,3849,71,67,0
60,2065,Fazendário,CREDITADA,3683.1,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,BA,3651,0,68,0
61,636,Fazendário,CREDITADA,7978.89,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,BA,3515,75,74,0
62,3102,Fazendário,CREDITADA,3412.85,S,1,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,BA,3849,71,70,0
63,2289,Fazendário,CREDITADA,12312.07,S,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,BA,3849,71,67,0
64,363,Fazendário,CREDITADA,1807.22,S,8,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,67,0
65,39,Fazendário,CREDITADA,1105.24,S,8,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SC,8327,48,70,0
66,3720,Fazendário,CREDITADA,405.05,S,8,ELETRÔNICO,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,F,MG,2683,32,63,0
67,2961,Fazendário,CREDITADA,1684.64,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,4123,31,65,0
68,2121,Fazendário,CREDITADA,307.45,S,8,ELETRÔNICO,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,M,SC,8265,47,67,0
69,2121,Fazendário,CREDITADA,415.34,S,8,ELETRÔNICO,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,M,SC,8265,47,67,0
70,2342,Fazendário,CREDITADA,98.83,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
71,2342,Fazendário,CREDITADA,95.48,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
72,2342,Fazendário,CREDITADA,98.03,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
73,2342,Fazendário,CREDITADA,97.84,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
74,2342,Fazendário,CREDITADA,97.39,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
75,2342,Fazendário,CREDITADA,98.47,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
76,2342,Fazendário,CREDITADA,96.75,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
77,2342,Fazendário,CREDITADA,96.36,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
78,2342,Fazendário,CREDITADA,98.14,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
79,2342,Fazendário,CREDITADA,96.24,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5091,31,64,0
80,107,Fazendário,CREDITADA,181.45,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,SP,7107,11,40,0
81,327,Fazendário,CREDITADA,181.45,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MS,9051,67,44,0
82,558,Fazendário,CREDITADA,181.45,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MS,9051,67,46,0
83,3599,Fazendário,CREDITADA,181.45,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,SP,6291,19,49,0
84,114,Fazendário,CREDITADA,42060.94,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,63,0
85,482,Fazendário,CREDITADA,546.25,S,8,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,69,0
86,987,Fazendário,CREDITADA,1343.65,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,78,0
87,3024,Fazendário,CREDITADA,1343.65,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,62,0
88,3432,Fazendário,CREDITADA,3953.4,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,82,0
89,2043,Fazendário,CREDITADA,1318.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,54,0
90,2706,Fazendário,CREDITADA,1318.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,52,0
91,3681,Fazendário,CREDITADA,1317.27,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,52,0
92,3783,Fazendário,CREDITADA,1046.64,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5401,34,81,0
93,1809,Fazendário,CREDITADA,1880.51,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,85,0
94,1356,Fazendário,CREDITADA,1347.5,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,99,105,Não,105,M,MG,4123,31,82,2
95,3071,Fazendário,CREDITADA,3763.45,S,1,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,10,105,Não,105,F,SC,8105,48,85,0
96,148,Fazendário,CREDITADA,107.11,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5925,24,82,0
97,148,Fazendário,CREDITADA,377.83,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5925,24,82,0
98,2665,Fazendário,CREDITADA,644.26,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,DF,9701,61,77,0
99,2665,Fazendário,CREDITADA,468.64,N,1,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,DF,9701,61,77,0
100,275,Fazendário,CREDITADA,1414.61,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,BA,3849,71,83,0
101,275,Fazendário,CREDITADA,1309.53,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,BA,3849,71,83,0
102,275,Fazendário,CREDITADA,1561.52,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,BA,3849,71,83,0
103,275,Fazendário,CREDITADA,1612.05,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,BA,3849,71,83,0
104,1948,Fazendário,CREDITADA,1184.71,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,CE,1389,85,91,0
105,1948,Fazendário,CREDITADA,519.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,CE,1389,85,91,0
106,82,Fazendário,CREDITADA,24298.45,S,8,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,SC,8039,47,73,0
107,82,Fazendário,CREDITADA,15568.64,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,SC,8039,47,73,0
108,763,Fazendário,CREDITADA,202.66,S,4,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,ES,5611,27,75,0
109,3053,Fazendário,CREDITADA,95.06,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4957,35,67,0
110,2528,Fazendário,CREDITADA,4333.33,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,71,0
111,2528,Fazendário,CREDITADA,3944.16,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,71,0
112,1711,Fazendário,CREDITADA,95.48,S,4,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Sim,63,F,BA,3849,71,65,0
113,2835,Fazendário,CREDITADA,411.36,S,2,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6219,14,68,0
114,2835,Fazendário,CREDITADA,361.99,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6219,14,68,0
115,2835,Fazendário,CREDITADA,405.94,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6219,14,68,0
116,2835,Fazendário,CREDITADA,386.08,S,2,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6219,14,68,0
117,1085,Fazendário,CREDITADA,126.76,S,5,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,BA,3849,71,68,0
118,1252,Fazendário,CREDITADA,2446.71,S,3,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,BA,3849,71,73,0
119,879,Fazendário,CREDITADA,5854.49,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,MS,9051,67,69,0
120,3380,Fazendário,CREDITADA,14577.35,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,ES,5625,27,63,0
121,3295,Fazendário,CREDITADA,804.43,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,4,105,Não,105,M,BA,3849,71,63,0
122,3318,Fazendário,CREDITADA,1496.58,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,82,0
123,3318,Fazendário,CREDITADA,1618.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,82,0
124,3318,Fazendário,CREDITADA,873.16,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,82,0
125,3318,Fazendário,CREDITADA,1081.68,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,82,0
126,3318,Fazendário,CREDITADA,1795.76,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,82,0
127,3622,Fazendário,CREDITADA,9941.02,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,DF,9701,61,68,0
128,1022,Fazendário,CREDITADA,838.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,DF,9701,83,70,0
129,2944,Fazendário,CREDITADA,838.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,DF,9701,61,68,0
130,1701,Fazendário,CREDITADA,838.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,DF,9701,61,66,0
131,3787,Fazendário,CREDITADA,838.06,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,SP,7107,0,66,0
132,1792,Fazendário,CREDITADA,833.04,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,DF,9701,61,64,0
133,2398,Fazendário,CREDITADA,28184.14,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,MG,4123,31,88,0
134,3335,Fazendário,CREDITADA,77369.24,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,GO,9373,62,84,0
135,2716,Fazendário,CREDITADA,128.27,S,2,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico,0,105,Não,105,M,PR,7583,42,81,0
136,2163,Fazendário,CREDITADA,1271.44,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,7107,11,86,0
137,3114,Fazendário,CREDITADA,4767.18,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,ES,5703,27,85,0
138,1346,Fazendário,CREDITADA,4504.85,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,90,0
139,1346,Fazendário,CREDITADA,7657.61,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,90,0
140,3264,Fazendário,CREDITADA,2549.31,S,1,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6249,14,80,0
141,3264,Fazendário,CREDITADA,1428.54,S,1,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6249,14,80,0
142,3264,Fazendário,CREDITADA,1106.75,S,1,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6249,14,80,0
143,3264,Fazendário,CREDITADA,2739.68,S,1,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6249,14,80,0
144,2437,Fazendário,CREDITADA,949.53,N,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,MG,4371,31,65,0
145,1297,Fazendário,CREDITADA,949.53,N,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,4371,31,69,0
146,2084,Fazendário,CREDITADA,949.53,N,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,4115,0,67,0
147,242,Fazendário,CREDITADA,949.53,N,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,10,105,Não,105,M,SP,6209,17,55,0
148,2715,Fazendário,CREDITADA,949.53,N,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,5091,31,72,0
149,428,Fazendário,CREDITADA,954.94,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5897,21,89,0
150,2687,Fazendário,CREDITADA,212.9,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,81,0
151,2687,Fazendário,CREDITADA,648.91,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,81,0
152,2687,Fazendário,CREDITADA,735.18,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,81,0
153,2428,Fazendário,CREDITADA,62157.28,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,SP,6969,16,85,0
154,1045,Fazendário,CREDITADA,433.77,S,1,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico,0,105,Não,105,F,PR,7535,41,84,0
155,3118,Fazendário,CREDITADA,3543.79,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PR,7769,41,83,0
